p,acc
1.60089,0.46299
1.60175,0.46467
1.6026,0.46227
1.60346,0.4651
1.60432,0.46129
1.60518,0.46306
1.60604,0.45955
1.6069,0.45895
1.60776,0.46364
1.60861,0.46266
1.60947,0.46423
1.61033,0.46173
1.61119,0.45826
1.61205,0.46007
1.61291,0.46154
1.61377,0.45933
1.61462,0.46218
1.61548,0.4601
1.61634,0.46229
1.6172,0.46048
1.61806,0.45883
1.61892,0.45691
1.61978,0.45898
1.62063,0.45996
1.62149,0.46012
1.62235,0.45969
1.62321,0.46165
1.62407,0.45845
1.62493,0.45733
1.62579,0.45812
1.62664,0.45652
1.6275,0.45935
1.62836,0.45713
1.62922,0.45778
1.63008,0.45719
1.63094,0.45927
1.6318,0.45779
1.63265,0.45498
1.63351,0.45679
1.63437,0.45605
1.63523,0.45631
1.63609,0.45809
1.63695,0.45725
1.63781,0.45954
1.63866,0.4523
1.63952,0.45572
1.64038,0.45635
1.64124,0.45489
1.6421,0.45932
1.64296,0.45811
1.64382,0.45241
1.64467,0.45464
1.64553,0.45422
1.64639,0.45337
1.64725,0.45204
1.64811,0.45527
1.64897,0.45563
1.64983,0.45508
1.65068,0.45455
1.65154,0.45283
1.6524,0.45482
1.65326,0.45684
1.65412,0.45142
1.65498,0.45268
1.65584,0.45167
1.65669,0.4548
1.65755,0.45198
1.65841,0.45237
1.65927,0.4528
1.66013,0.45293
1.66099,0.45032
1.66185,0.44998
1.6627,0.45289
1.66356,0.45041
1.66442,0.45061
1.66528,0.44749
1.66614,0.44915
1.667,0.45139
1.66786,0.44934
1.66871,0.44927
1.66957,0.44912
1.67043,0.45229
1.67129,0.44656
1.67215,0.45182
1.67301,0.4494
1.67387,0.45002
1.67472,0.44795
1.67558,0.44877
1.67644,0.44811
1.6773,0.44634
1.67816,0.44931
1.67902,0.44647
1.67988,0.44972
1.68073,0.44743
1.68159,0.45014
1.68245,0.44726
1.68331,0.44663
1.68417,0.44684
1.68503,0.44691
1.68589,0.44933
1.68675,0.44865
1.6876,0.4473
1.68846,0.44462
1.68932,0.44364
1.69018,0.44889
1.69104,0.44378
1.6919,0.4453
1.69276,0.44699
1.69361,0.44692
1.69447,0.44497
1.69533,0.44542
1.69619,0.44493
1.69705,0.44257
1.69791,0.44769
1.69877,0.44158
1.69962,0.44586
1.70048,0.44233
1.70134,0.44557
1.7022,0.44363
1.70306,0.44474
1.70392,0.44389
1.70478,0.44428
1.70563,0.44271
1.70649,0.44374
1.70735,0.44173
1.70821,0.44219
1.70907,0.44365
1.70993,0.44167
1.71079,0.4433
1.71164,0.44323
1.7125,0.44104
1.71336,0.44264
1.71422,0.4412
1.71508,0.44269
1.71594,0.44278
1.7168,0.44093
1.71765,0.44023
1.71851,0.44124
1.71937,0.44
1.72023,0.44196
1.72109,0.44135
1.72195,0.4414
1.72281,0.43954
1.72366,0.43982
1.72452,0.43924
1.72538,0.43935
1.72624,0.44
1.7271,0.44023
1.72796,0.44054
1.72882,0.43537
1.72967,0.4391
1.73053,0.43778
1.73139,0.436
1.73225,0.43884
1.73311,0.43768
1.73397,0.4349
1.73483,0.43675
1.73568,0.44068
1.73654,0.4378
1.7374,0.43825
1.73826,0.43768
1.73912,0.4352
1.73998,0.43836
1.74084,0.43777
1.74169,0.43616
1.74255,0.43689
1.74341,0.43703
1.74427,0.43665
1.74513,0.43732
1.74599,0.43473
1.74685,0.4361
1.7477,0.43689
1.74856,0.43746
1.74942,0.43641
1.75028,0.43604
1.75114,0.43288
1.752,0.43485
1.75286,0.43351
1.75371,0.43391
1.75457,0.43392
1.75543,0.43537
1.75629,0.43621
1.75715,0.43189
1.75801,0.43533
1.75887,0.43232
1.75972,0.43292
1.76058,0.43392
1.76144,0.4359
1.7623,0.43337
1.76316,0.43337
1.76402,0.43319
1.76488,0.43413
1.76573,0.42906
1.76659,0.43309
1.76745,0.43013
1.76831,0.43207
1.76917,0.43302
1.77003,0.4331
1.77089,0.4307
1.77174,0.43367
1.7726,0.43125
1.77346,0.43074
1.77432,0.4303
1.77518,0.42829
1.77604,0.43197
1.7769,0.43418
