time,X,Y
10.270191,86,555
10.270194,85,556
10.270535,84,557
10.270834,85,556
10.271219,86,555
10.271826,85,556
10.272080,86,556
10.272919,87,555
10.273040,88,555
10.273869,89,555
10.274038,90,554
10.275887,91,553
10.277783,90,554
10.278360,91,554
10.278829,92,553
10.279419,91,554
10.280677,90,555
10.281211,91,554
10.281290,92,554
10.282526,93,554
10.283646,92,555
10.284417,91,556
10.284796,92,556
10.284900,93,555
10.286760,94,555
10.286784,93,556
10.287368,92,557
10.288177,93,557
10.289084,92,558
10.291222,91,558
10.291612,90,558
10.291876,91,558
10.292396,92,558
10.295489,91,559
10.296147,92,558
10.296185,93,557
10.297556,94,556
10.298191,95,555
10.299022,96,555
10.299049,95,556
10.299091,96,555
10.299184,97,554
10.299635,96,555
10.302735,97,554
10.303601,98,553
10.303822,97,554
10.305144,98,554
10.305926,97,555
10.308006,98,555
10.308076,97,556
10.308210,98,556
10.308381,97,557
10.309159,96,558
10.310492,95,558
10.310976,94,559
10.312558,95,559
10.312778,94,560
10.312912,95,560
10.314202,96,560
10.316615,95,561
10.316670,96,560
10.317027,97,559
10.318009,98,559
10.318044,97,560
10.318161,98,560
10.318547,97,561
10.318836,96,562
10.319531,97,562
10.320185,96,562
10.320549,95,562
10.321926,94,563
10.322405,93,564
10.322597,92,565
10.323657,91,565
10.325420,92,564
10.326509,91,565
10.327573,90,566
10.327671,91,566
10.328261,92,565
10.328583,93,564
10.329132,92,565
10.329557,93,565
10.333895,92,566
10.334381,93,565
10.334541,94,565
10.335036,95,565
10.336553,96,564
10.336647,95,565
10.336698,94,565
10.338300,95,565
10.338360,96,565
10.338483,97,564
10.339939,98,563
10.340367,97,564
10.340525,96,565
10.341616,95,566
10.341804,94,567
10.341969,93,567
10.342153,92,568
10.342590,93,568
10.343390,94,567
10.343813,93,567
10.345156,92,568
10.346406,93,567
10.347678,92,567
10.349733,93,566
10.349767,94,565
10.351498,95,564
10.352817,94,565
10.353035,95,564
10.353760,96,563
10.354186,95,563
10.354572,94,564
10.357589,93,564
10.358199,92,565
10.358904,91,566
10.358930,92,566
10.360982,93,566
10.361630,92,567
10.361728,91,568
10.361752,90,569
10.361790,91,569
10.363031,90,570
10.363180,89,571
10.364331,90,570
10.365249,91,569
10.365928,92,569
10.366001,93,568
10.366209,94,568
10.366337,95,567
10.366403,94,568
10.366571,93,569
10.367499,94,568
10.367696,93,568
10.369147,94,568
10.370606,95,568
10.371411,96,567
10.371540,97,567
10.372145,96,567
10.372864,97,567
10.374782,96,568
10.374860,97,567
10.375017,96,568
10.375923,97,568
10.376671,98,568
10.377550,97,568
10.377685,98,567
10.378276,97,567
10.378718,96,568
10.378913,95,569
10.379374,94,570
10.382330,93,571
10.382547,92,572
10.383010,91,573
10.384741,90,574
10.385109,89,575
10.385293,88,576
10.386084,89,575
10.386244,88,576
10.386495,89,575
10.387178,90,574
10.389838,89,575
10.390447,90,574
10.390596,89,575
10.392287,90,574
10.392850,91,573
10.393181,92,572
10.394872,93,572
10.395585,92,573
10.395902,91,574
10.397111,90,575
10.400621,89,576
10.401449,88,577
10.401805,89,576
10.401983,90,575
10.404696,89,576
10.404963,88,577
10.405303,87,578
10.406134,88,577
10.406830,87,577
10.408419,88,577
10.410801,87,578
10.410810,86,579
10.412633,87,578
10.415309,88,577
10.417409,87,578
10.417547,88,577
10.418574,89,577
10.419137,90,576
10.419521,89,577
10.421118,88,578
10.424833,89,578
10.425039,90,578
10.426013,91,577
10.427490,92,576
10.429119,93,576
10.430414,92,577
10.430494,93,576
10.430939,92,576
10.431573,93,575
10.431637,92,576
10.433434,91,577
10.433758,90,578
10.435341,91,577
10.436881,92,576
10.437972,93,575
10.438639,92,576
10.438749,91,577
10.438834,92,577
10.439533,93,577
10.440104,92,577
10.441168,93,576
10.443299,94,576
10.443831,95,576
10.444165,94,577
10.444453,93,578
10.446826,92,579
10.450037,91,579
10.451080,90,580
10.451096,91,579
10.451369,90,580
10.452796,91,579
10.454318,92,579
10.456072,91,580
10.456208,90,581
10.456329,89,582
10.460191,90,581
10.460666,91,581
10.461401,90,582
10.461466,91,581
10.463861,92,581
10.464438,93,581
10.466924,92,582
10.467088,91,583
10.467320,90,584
10.467393,91,583
10.467623,90,584
10.468052,89,585
10.468064,88,586
10.469949,87,587
10.470230,88,587
10.470669,87,588
10.470675,86,589
10.471198,87,588
10.471278,88,588
10.471387,89,587
10.471773,88,588
10.472343,87,589
10.472831,86,590
10.474150,87,589
10.474924,86,589
10.475010,87,589
10.476345,88,588
10.476721,87,589
10.476933,88,588
10.477330,89,587
10.477698,88,588
10.478382,87,589
10.478637,86,590
10.479685,85,591
10.480260,84,592
10.481037,83,593
10.482160,82,594
10.484242,81,595
10.485023,80,595
10.485135,81,594
10.485496,80,595
10.485712,81,595
10.485956,82,595
10.486056,81,596
10.486322,80,597
10.486771,79,598
10.488863,78,599
10.489358,79,599
10.489711,80,599
10.489967,81,598
10.490163,82,598
10.490731,81,599
10.490910,80,600
10.492801,81,599
10.493147,82,599
10.493349,83,598
10.494911,82,599
10.495336,83,599
10.496296,82,600
10.497605,83,599
10.498740,84,599
10.498851,85,599
10.500300,86,598
10.501057,87,597
10.501059,88,596
10.504216,89,596
10.504853,88,597
10.505232,89,597
10.508089,88,598
10.508605,89,597
10.510585,88,598
10.511559,87,599
10.512626,86,600
10.512685,87,600
10.514307,86,601
10.514753,87,601
10.515542,88,601
10.517620,89,601
10.518157,90,601
10.518522,91,600
10.518933,90,601
10.519887,89,602
10.520248,88,603
10.520545,87,604
10.520923,88,604
10.523529,87,605
10.523783,86,606
10.524158,87,606
10.526103,86,607
10.526340,87,606
10.527179,88,606
10.527267,87,607
10.527502,86,608
10.528744,87,607
10.529611,86,608
10.530284,85,609
10.530367,84,610
10.531254,85,609
10.531357,86,608
10.532266,87,608
10.532717,88,607
10.534287,87,607
10.535746,88,606
10.536820,89,606
10.536868,88,607
10.537509,87,608
10.538110,88,608
10.541857,87,609
10.543643,88,609
10.544233,89,608
10.546530,90,607
10.549602,91,606
10.550227,92,605
10.550608,93,605
10.550983,94,605
10.551617,95,605
10.552759,94,606
10.553313,95,605
10.554643,96,604
10.555796,95,605
10.556188,96,604
10.556545,97,603
10.557132,98,602
10.557227,97,603
10.557543,98,602
10.559091,99,601
10.559247,100,600
10.560275,99,601
