15100,0.0100662,0.0288742,0.0127152,0.018543,0.026755,0.00211921,0.00529801,0.0172185,0.00874172,0.00874172
15200,0.00289474,0.00842105,0.00157895,0.0102632,0.00552632,0.0207895,0.00736842,0.00605263,0.00921053,0.0142105
15300,0.00679739,0.00653595,0.00130719,0.0261438,0.0104575,0.00287582,0.010719,0.00522876,0.00183007,0.00575163
15400,0.0251948,0.012987,0.000779221,0.0012987,0.0251948,0.00415584,0.00701299,0.0205195,0.00207792,0.0166234
15500,0.00180645,0.00283871,0.0129032,0.00516129,0.00851613,0.0322581,0.0139355,0,0.0237419,0.0183226
15600,0.015641,0.00410256,0.0120513,0.00615385,0.00615385,0.00153846,0.0215385,0.0105128,0.0282051,0.0125641
15700,0.00535032,0.00484076,0.0295541,0.000764331,0.00509554,0.0313376,0.00535032,0.0089172,0.0132484,0.0104459
15800,0.0101266,0.00860759,0.000759494,0.0144304,0.00278481,0.0149367,0.00632911,0.0136709,0.000506329,0.0162025
15900,0.00754717,0.000754717,0.0173585,0.00226415,0.0125786,0,0.00377358,0.0045283,0.0163522,0.00201258
16000,0.033,0.0115,0.02475,0.04025,0.00475,0.02625,0.007,0.00225,0.002,0.008
16100,0.00273292,0.0181366,0.00645963,0.0101863,0.000993789,0.00521739,0.00248447,0.0285714,0.00223602,0.0176398
16200,0.0054321,0.00123457,0.0167901,0.000987654,0.0091358,0,0.0192593,0.00666667,0.0128395,0.00197531
16300,0.0191411,0.0218405,0.00392638,0.0149693,0.00368098,0.0125153,0.00147239,0.0287117,0.0147239,0.0169325
16400,0.00512195,0.00243902,0.0104878,0.00097561,0.00219512,0.000731707,0.00658537,0.0180488,0.0236585,0.0121951
16500,0.00266667,0.00606061,0.0109091,0.00218182,0.000242424,0.0121212,0.00484848,0.0271515,0.000727273,0
16600,0.0106024,0.00650602,0.0231325,0.0108434,0.00578313,0.0144578,0.000963855,0.0163855,0.00650602,0.00843373
16700,0.00982036,0.0124551,0.00383234,0.00766467,0.00766467,0.00167665,0.000958084,0.0129341,0.0196407,0.0150898
16800,0.00119048,0.0114286,0.00952381,0.00357143,0.00142857,0.000952381,0.0169048,0.00666667,0.00142857,0.0047619
16900,0.00781065,0.00189349,0.0101775,0.00591716,0.0243787,0.0175148,0.0115976,0.00213018,0.00946746,0.0326627
17000,0.00564706,0.00729412,0.0308235,0.0303529,0.00588235,0.00658824,0.0242353,0.000470588,0.00752941,0.0207059
17100,0.00374269,0.00608187,0.0140351,0.00421053,0.00280702,0.0051462,0.00210526,0.00865497,0.00304094,0.0254971
17200,0.00325581,0.00930233,0.015814,0.0162791,0.0160465,0.00604651,0.0102326,0.0204651,0.0216279,0.0111628
