realization,energy,pressure,acc_ratio
1,-135.455,0.949675,0.39
1,-142.738,0.746355,0.45
1,-133.371,1.02869,0.41
1,-125.443,1.37093,0.47
1,-135.518,0.873766,0.4
1,-150.029,0.55883,0.46
1,-141.764,0.821166,0.35
1,-132.693,1.12929,0.5
1,-138.372,0.758538,0.45
1,-142.919,0.681374,0.46
1,-137.475,0.961075,0.39
1,-136.533,1.0518,0.32
1,-128.775,1.08342,0.44
1,-131.093,1.16262,0.4
1,-134.99,1.12007,0.36
1,-137.395,1.08275,0.52
1,-128.295,1.3357,0.5
1,-125.861,1.28084,0.29
1,-119.815,1.58188,0.44
1,-124.545,1.52885,0.4
1,-124.53,1.42304,0.47
1,-152.996,0.422646,0.41
1,-147.381,0.649427,0.42
1,-137.29,0.896484,0.43
1,-142.863,0.674578,0.47
1,-140.726,0.843776,0.39
1,-142.952,0.6007,0.42
1,-147.626,0.583833,0.48
1,-138.392,0.874272,0.39
1,-130.885,1.19405,0.34
1,-131.6,0.985027,0.29
1,-132.292,0.849036,0.4
1,-130.361,0.95781,0.38
1,-109.261,1.53798,0.42
1,-112.928,1.57096,0.38
1,-113.172,1.4276,0.42
1,-118.194,1.41696,0.33
1,-116.977,1.54686,0.41
1,-116.499,1.58413,0.42
1,-125.654,1.26064,0.4
1,-135.391,0.991804,0.51
1,-137.718,0.926648,0.41
1,-135.939,0.89235,0.5
1,-133.478,0.937614,0.45
1,-136.843,0.915996,0.33
1,-149.565,0.543924,0.41
1,-142.273,0.772496,0.32
1,-141.147,0.725029,0.47
1,-143.59,0.601243,0.4
1,-142.426,0.592307,0.43
1,-130.426,0.8914,0.38
1,-121.756,1.2677,0.38
1,-136.225,0.735206,0.54
1,-136.611,0.911629,0.45
1,-142.506,0.595606,0.46
1,-145.7,0.440392,0.44
1,-131.033,0.817139,0.5
1,-135.525,0.77928,0.45
1,-140.432,0.91042,0.43
1,-132.218,1.14647,0.48
1,-144.41,0.684846,0.4
1,-128.775,1.01214,0.45
1,-130.821,0.993008,0.39
1,-142.323,0.56675,0.52
1,-131.916,0.865786,0.36
1,-139.793,0.660443,0.43
1,-139.07,0.848339,0.5
1,-135.19,0.959201,0.46
1,-128.686,1.13806,0.43
1,-125.786,1.41646,0.39
1,-128.602,1.3425,0.3
1,-146.383,0.885907,0.43
1,-136.807,1.08756,0.37
1,-139.862,1.0188,0.37
1,-138.169,1.07439,0.37
1,-139.608,1.01173,0.38
1,-132.819,1.20667,0.4
1,-131.65,1.20887,0.38
