throws,error
5600,0.00664579
5600,0.00550897
5600,0.00494978
5600,0.00972443
5600,0.00437215
5700,0.000274856
5700,0.000944982
5700,0.00240565
5700,0.00429561
5700,0.000618645
5700,0.000721607
5700,0.0100004
5700,0.0118904
5700,0.00039527
5700,0.00151215
5800,0.0018241
5800,6.79093e-05
5800,0.00379982
5800,0.00432257
5800,0.00234686
5800,0.00344448
5800,0.0045421
5800,0.0018241
5800,0.00292172
5800,0.00379982
5900,0.000248354
5900,0.00132737
5900,0.00175898
5900,0.000248354
5900,0.00844888
5900,0.00277289
5900,0.00564344
5900,0.00823308
5900,0.00126227
5900,0.00132737
6000,0.00649586
6000,0.0166347
6000,0.00437379
6000,0.00267614
6000,0.004586
6000,0.0014029
6000,0.00729757
6000,8.25442e-05
6000,0.00373717
6000,0.00475109
6100,0.0010585
6100,0.00353351
6100,0.0160572
6100,0.00332478
6100,0.00228114
6100,0.013135
6100,0.00248987
6100,0.00356323
6100,0.01066
6100,0.0169218
6200,0.00216274
6200,0.00173912
6200,0.000506957
6200,0.00646243
6200,0.00687316
6200,0.00235521
6200,0.00317665
6200,0.00216274
6200,0.00646243
6200,0.00625707
6300,0.0111139
6300,0.00141301
6300,0.00222141
6300,0.00323533
6300,0.00565714
6300,0.000604601
6300,0.00586265
6300,0.00121431
6300,0.00606475
6300,0.00444794
6400,0.00209851
6400,0.00548055
6400,0.00746999
6400,0.00667421
6400,0.00309323
6400,0.00170062
6400,0.00349111
6400,0.00965837
6400,0.00585924
6400,0.00267614
6500,0.00961552
6500,0.0017802
6500,0.00295549
6500,0.0185916
6500,0.00706904
6500,0.0125538
6500,0.00256373
6500,0.0086361
6500,0.00135393
6500,0.00840572
6600,0.00547341
6600,0.00470175
6600,0.0010857
6600,0.000121127
6600,0.00836714
6600,0.000264703
6600,0.00508758
6600,0.00282194
6600,0.01319
6600,0.00508758
6700,0.00129838
6700,0.00623931
6700,0.00212226
6700,0.0146646
6700,0.00212226
6700,0.000158168
6700,0.00528913
6700,0.000158168
6700,0.0169451
6700,0.0028824
6800,0.00649867
6800,0.000242007
6800,0.010353
6800,0.00275385
6800,0.0097913
6800,0.00462626
6800,0.000506957
6800,0.00791889
6800,0.00454855
6800,0.00294109
6900,0.000783749
6900,0.00170639
6900,0.00428977
6900,0.00438302
6900,0.00871843
6900,0.00475208
6900,0.00484335
6900,0.000692471
6900,0.0175757
6900,0.00346038
7000,0.00287155
7000,0.0108748
7000,0.00349465
7000,0.00268965
7000,0.00141641
7000,0.0114979
7000,0.0122254
7000,0.00131196
7000,0.0104065
7000,0.00222141
7100,0.00980449
7100,0.000417293
7100,0.00507986
7100,0.00388662
7100,0.00783186
7100,0.0118944
7100,0.00298997
7100,0.00543852
7100,0.00639723
7100,0.00693522
7200,0.00563528
7200,0.00227535
7200,0.00356034
7200,0.00970258
7200,0.00687316
7200,0.00161511
7200,0.013817
7200,0.00621292
7200,0.00992653
7200,0.0093489
7300,0.00359183
7300,0.0021965
7300,0.015801
7300,0.00826849
7300,0.00809407
7300,0.00149883
7300,0.00271975
7300,0.000801165
7300,0.000626749
7300,0.0021965
7400,0.00241805
7400,0.00480844
7400,0.00844013
7400,0.00945405
7400,0.00377609
7400,0.00893787
7400,0.00620336
7400,0.00362247
7400,0.00224599
7400,0.00291579
7500,0.00704292
7500,0.0056848
7500,0.00585456
7500,0.00636386
7500,0.00941963
7500,0.00296855
7500,0.00297323
7500,0.00059184
7500,0.00127558
7500,0.00941963
7600,0.00335499
7600,0.00502158
7600,0.00217355
7600,0.00637056
7600,0.00502158
7600,0.00151215
7600,0.00452771
7600,0.00384886
7600,0.00519784
7600,0.00770209
7700,0.00271748
7700,0.00654244
7700,0.00916636
7700,0.00470175
7700,0.00271748
7700,0.00734744
7700,0.000402499
7700,0.000733211
7700,0.000258924
7700,0.000898567
7800,0.00834228
7800,0.0184284
7800,0.00471659
7800,0.0112805
7800,0.000145986
7800,0.0057305
7800,0.0034452
7800,0.00471659
7800,0.0011254
7800,0.000635693
7900,0.000862984
7900,0.00219924
7900,0.00263585
7900,0.00279702
7900,0.00461678
7900,0.00123222
7900,0.000265203
7900,0.00542263
7900,0.00155456
7900,0.00671199
8000,0.0049633
8000,0.00554093
8000,0.00888318
8000,0.00146189
8000,0.00315361
8000,0.00655485
8000,0.000129662
8000,0.00188037
8000,0.00703231
8000,0.0168409
8100,0.0136323
8100,0.00467249
8100,0.00577282
8100,0.0111173
