side,temp,obs,variable,value
32,1.8,magnet,mean,0.956846949968434
32,1.9,energy,mean,-1.81540587121212
32,1.9,magnet,mean,0.938335736268939
32,2,energy,mean,-1.64212436079545
32,2,magnet,mean,0.911309142203283
32,2.1,energy,mean,-1.67760916982323
32,2.1,magnet,mean,0.868811036142677
32,2.2,energy,mean,-1.60117011916035
32,2.2,magnet,mean,0.784546571180556
32,2.3,energy,mean,-1.37198100142045
32,2.3,magnet,mean,0.569314273595328
32,2.4,energy,mean,-1.19665124684343
32,2.4,magnet,mean,0.313029348169192
32,2.5,energy,mean,-1.10733501815025
32,2.5,magnet,mean,0.201515542140152
32,2.6,energy,mean,-1.01260404040404
32,2.6,magnet,mean,0.150235181897096
32,2.7,energy,mean,-0.955521200284091
32,2.7,magnet,mean,0.122797451073232
32,2.8,energy,mean,-0.888618272569445
32,2.8,magnet,mean,0.105847599037247
32,2.9,energy,mean,-0.865886300505051
32,2.9,magnet,mean,0.0939814847695707
32,3,energy,mean,-0.784066106376263
32,3,magnet,mean,0.0852465553977273
32,3.1,energy,mean,-0.790906265782828
32,3.1,magnet,mean,0.0781842073074495
32,3.2,energy,mean,-0.79003814709596
32,3.2,magnet,mean,0.0727949021464646
32,3.3,energy,mean,-0.653632919034091
32,3.3,magnet,mean,0.0684088660037879
32,3.4,energy,mean,-0.691741335227273
32,3.4,magnet,mean,0.0648954308712121
32,3.5,energy,mean,-0.677773401988636
32,3.5,magnet,mean,0.0617480488478535
32,3.6,energy,mean,-0.624600962752525
32,3.6,magnet,mean,0.0591408538510101
32,3.7,energy,mean,-0.53230048532197
32,3.7,magnet,mean,0.0569020695233586
32,3.8,energy,mean,-0.681952971117424
32,3.8,magnet,mean,0.0548836627998737
32,3.9,energy,mean,-0.588472166982323
32,3.9,magnet,mean,0.053090960385101
32,4,energy,mean,-0.555274325284091
32,4,magnet,mean,0.0516279908459596
32,4.1,energy,mean,-0.525047514204545
32,4.1,magnet,mean,0.0501556857638889
32,4.2,energy,mean,-0.515467929292929
32,4.2,magnet,mean,0.0489526515151515
45,0.2,energy,mean,-2.00098765432099
45,0.2,magnet,mean,1
45,0.3,energy,mean,-2.03753086419753
45,0.3,magnet,mean,1
45,0.4,energy,mean,-1.9427160294301
45,0.4,magnet,mean,0.999999995011847
45,0.5,energy,mean,-2.01086332759696
45,0.5,magnet,mean,0.999999782516523
45,0.6,energy,mean,-1.96245646389824
45,0.6,magnet,mean,0.999996828532236
45,0.7,energy,mean,-1.97126962663674
45,0.7,magnet,mean,0.999977825664048
45,0.8,energy,mean,-1.99666865195161
45,0.8,magnet,mean,0.999907255268737
45,0.9,energy,mean,-2.00873520389076
45,0.9,magnet,mean,0.999711047262751
45,1,energy,mean,-1.95666914278588
45,1,magnet,mean,0.999276428482354
45,1.1,energy,mean,-2.02261316972191
45,1.1,magnet,mean,0.998446936525751
45,1.2,energy,mean,-1.9461218925053
45,1.2,magnet,mean,0.997023966080559
45,1.3,energy,mean,-2.01778724728769
45,1.3,magnet,mean,0.994770962962963
45,1.4,energy,mean,-1.99080514577878
45,1.4,magnet,mean,0.991386970944008
45,1.5,energy,mean,-1.96988260082305
45,1.5,magnet,mean,0.986499839880284
45,1.6,energy,mean,-1.91739328295299
45,1.6,magnet,mean,0.979629855094151
